Product_id,Review_rating,clean_review,Sentiment
1,1.0 out of 5 stars,not happy with product,Negative
1, 1.0 out of 5 stars, its not as expected,Negative
1, 3.0 out of 5 stars, average product,Positive
1, 3.0 out of 5 stars, pic more beautiful,Positive
1, 3.0 out of 5 stars, got damage product but quality is average for ,Positive
1, 2.0 out of 5 stars, bad product different from what was listed,Negative
1, 1.0 out of 5 stars, worst product,Negative
1, 2.0 out of 5 stars, dont buy,Positive
1, 1.0 out of 5 stars, low quality makes pain on heals by sharp edges inside shoes,Negative
1, 1.0 out of 5 stars, do not buy it anyway,Positive
2,5.0 out of 5 stars,memory cushioning in these shoes is the best feature,Negative
2, 1.0 out of 5 stars, poor quality product,Positive
2, 5.0 out of 5 stars, best for gym n sports,Negative
2, 5.0 out of 5 stars, must must must buy,Negative
2, 4.0 out of 5 stars, worth for this price,Negative
2, 5.0 out of 5 stars, satisfied,Positive
2, 5.0 out of 5 stars, please try this shoe,Negative
2, 5.0 out of 5 stars, very good for heels comfy cushion,Positive
2, 4.0 out of 5 stars, good lookinggood quality not exact fit a bit over sized,Positive
2, 5.0 out of 5 stars, awesome amazon awesome,Negative
3,5.0 out of 5 stars,worth to its amount,Positive
3, 5.0 out of 5 stars, go for it,Positive
3, 5.0 out of 5 stars, perfect,Positive
3, 5.0 out of 5 stars,  star,Negative
3, 1.0 out of 5 stars, itam not received,Negative
3, 1.0 out of 5 stars, worst product please dont buy,Negative
3, 5.0 out of 5 stars, nice shoes,Positive
3, 4.0 out of 5 stars, pros and cons,Negative
3, 1.0 out of 5 stars, no buy,Negative
3, 1.0 out of 5 stars, ignore this and go for another option,Negative
4,5.0 out of 5 stars,sup quality,Negative
4, 3.0 out of 5 stars, good but not expected,Negative
4, 5.0 out of 5 stars, awesome ,Positive
5,5.0 out of 5 stars,best,Positive
5, 5.0 out of 5 stars, satisfied,Negative
5, 5.0 out of 5 stars, affordable beauty  the eye catcher ,Positive
5, 5.0 out of 5 stars, economical and soft for feet,Negative
5, 5.0 out of 5 stars, good looking shoe however buy one size low,Positive
5, 5.0 out of 5 stars, must bye for puja,Negative
5, 1.0 out of 5 stars, why so much variation in sizes,Positive
5, 3.0 out of 5 stars, review after  days of use,Positive
5, 2.0 out of 5 stars, you get what you pay for,Negative
5, 5.0 out of 5 stars, cheap and branded spent  x  to  time is better than  one time,Negative
6,5.0 out of 5 stars,awesome,Negative
6, 4.0 out of 5 stars, nice product,Negative
6, 4.0 out of 5 stars, nic fitting,Negative
6, 1.0 out of 5 stars, poor quality product,Positive
6, 2.0 out of 5 stars, shoes,Negative
6, 3.0 out of 5 stars, nice,Positive
6, 1.0 out of 5 stars, bad,Negative
6, 4.0 out of 5 stars, fits comfortably,Positive
6, 5.0 out of 5 stars, so comfortable and fancy,Negative
6, 2.0 out of 5 stars, nice,Positive
7,5.0 out of 5 stars,bang for buckpaise,Negative
