Product_id,Review_rating,clean_review,Emotion,Sentiment_Score
1,1.0 out of 5 stars,not happy with product,NEGATIVE,0.9996991157531738
1, 1.0 out of 5 stars, its not as expected,NEGATIVE,0.9961674809455872
1, 3.0 out of 5 stars, average product,NEGATIVE,0.9676812291145325
1, 3.0 out of 5 stars, pic more beautiful,POSITIVE,0.9996991157531738
1, 3.0 out of 5 stars, got damage product but quality is average for ,POSITIVE,0.8347597122192383
1, 2.0 out of 5 stars, bad product different from what was listed,NEGATIVE,0.9997542500495911
1, 1.0 out of 5 stars, worst product,NEGATIVE,0.9997625946998596
1, 2.0 out of 5 stars, dont buy,NEGATIVE,0.99004727602005
1, 1.0 out of 5 stars, low quality makes pain on heals by sharp edges inside shoes,NEGATIVE,0.9730201363563538
1, 1.0 out of 5 stars, do not buy it anyway,NEGATIVE,0.999028205871582
2,5.0 out of 5 stars,memory cushioning in these shoes is the best feature,POSITIVE,0.9998008608818054
2, 1.0 out of 5 stars, poor quality product,NEGATIVE,0.9997138381004333
2, 5.0 out of 5 stars, best for gym n sports,POSITIVE,0.9990443587303162
2, 5.0 out of 5 stars, must must must buy,NEGATIVE,0.8700723648071289
2, 4.0 out of 5 stars, worth for this price,POSITIVE,0.9998353719711304
2, 5.0 out of 5 stars, satisfied,POSITIVE,0.9997212290763855
2, 5.0 out of 5 stars, please try this shoe,NEGATIVE,0.5824878811836243
2, 5.0 out of 5 stars, very good for heels comfy cushion,POSITIVE,0.9995150566101074
2, 4.0 out of 5 stars, good lookinggood quality not exact fit a bit over sized,NEGATIVE,0.9915728569030762
2, 5.0 out of 5 stars, awesome amazon awesome,POSITIVE,0.9998623132705688
3,5.0 out of 5 stars,worth to its amount,POSITIVE,0.999860405921936
3, 5.0 out of 5 stars, go for it,POSITIVE,0.9996144771575928
3, 5.0 out of 5 stars, perfect,POSITIVE,0.9998517036437988
3, 5.0 out of 5 stars,  star,POSITIVE,0.9997327923774719
3, 1.0 out of 5 stars, itam not received,NEGATIVE,0.9997159838676453
3, 1.0 out of 5 stars, worst product please dont buy,NEGATIVE,0.9998136162757874
