Product_id,Review_rating,clean_review
1,1.0 out of 5 stars,not happy with product
1, 1.0 out of 5 stars, its not as expected
1, 3.0 out of 5 stars, average product
1, 3.0 out of 5 stars, pic more beautiful
1, 3.0 out of 5 stars, got damage product but quality is average for 
1, 2.0 out of 5 stars, bad product different from what was listed
1, 1.0 out of 5 stars, worst product
1, 2.0 out of 5 stars, dont buy
1, 1.0 out of 5 stars, low quality makes pain on heals by sharp edges inside shoes
1, 1.0 out of 5 stars, do not buy it anyway
2,5.0 out of 5 stars,memory cushioning in these shoes is the best feature
2, 1.0 out of 5 stars, poor quality product
2, 5.0 out of 5 stars, best for gym n sports
2, 5.0 out of 5 stars, must must must buy
2, 4.0 out of 5 stars, worth for this price
2, 5.0 out of 5 stars, satisfied
2, 5.0 out of 5 stars, please try this shoe
2, 5.0 out of 5 stars, very good for heels comfy cushion
2, 4.0 out of 5 stars, good lookinggood quality not exact fit a bit over sized
2, 5.0 out of 5 stars, awesome amazon awesome
3,5.0 out of 5 stars,worth to its amount
3, 5.0 out of 5 stars, go for it
3, 5.0 out of 5 stars, perfect
3, 5.0 out of 5 stars,  star
3, 1.0 out of 5 stars, itam not received
3, 1.0 out of 5 stars, worst product please dont buy
3, 5.0 out of 5 stars, nice shoes
3, 4.0 out of 5 stars, pros and cons
3, 1.0 out of 5 stars, no buy
3, 1.0 out of 5 stars, ignore this and go for another option
4,5.0 out of 5 stars,sup quality
4, 3.0 out of 5 stars, good but not expected
4, 5.0 out of 5 stars, awesome 
5,5.0 out of 5 stars,best
5, 5.0 out of 5 stars, satisfied
5, 5.0 out of 5 stars, affordable beauty  the eye catcher 
5, 5.0 out of 5 stars, economical and soft for feet
5, 5.0 out of 5 stars, good looking shoe however buy one size low
5, 5.0 out of 5 stars, must bye for puja
5, 1.0 out of 5 stars, why so much variation in sizes
5, 3.0 out of 5 stars, review after  days of use
5, 2.0 out of 5 stars, you get what you pay for
5, 5.0 out of 5 stars, cheap and branded spent  x  to  time is better than  one time
6,5.0 out of 5 stars,awesome
6, 4.0 out of 5 stars, nice product
6, 4.0 out of 5 stars, nic fitting
6, 1.0 out of 5 stars, poor quality product
6, 2.0 out of 5 stars, shoes
6, 3.0 out of 5 stars, nice
6, 1.0 out of 5 stars, bad
6, 4.0 out of 5 stars, fits comfortably
6, 5.0 out of 5 stars, so comfortable and fancy
6, 2.0 out of 5 stars, nice
7,5.0 out of 5 stars,bang for buckpaise
7, 1.0 out of 5 stars, refund or change
7, 4.0 out of 5 stars, this shoes are really good for casual ware 
7, 5.0 out of 5 stars, comfort
7, 4.0 out of 5 stars, got one
7, 2.0 out of 5 stars, poor quality
7, 5.0 out of 5 stars, a good product for this price
7, 4.0 out of 5 stars, good quality but the seller have to improve their serviceas i got wrong shoe number
7, 3.0 out of 5 stars, the soul of the shoes is not what it looks like in the photo
7, 1.0 out of 5 stars, product not as described and vpoor quality
8,1.0 out of 5 stars,think twice before ordering amazon
8, 1.0 out of 5 stars, very poor product dont buy it
